Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1829,JAPAN,2022,JPN,Laos,Core Human Resource Development for Road Asset Management (JFY2021-2023)_05,2493.055149,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2906,JAPAN,2021,JPN,Togo,Ex-post situation survey for le Project d'Amanagement du Port de Peche de Lome,2525.648268,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Fishing) ,Fishing,Yes,No,,Other (Fishing),,,,,Fishing,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,152,JAPAN,2021,JPN,Bangladesh,Level Up Training for Operation and Management Organization of Urban Railways_01,2532.463509,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3119,JAPAN,2021,JPN,Vietnam,Level Up Training for Operation and Management Organization of Urban Railways_03,2532.463509,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,82,JAPAN,2022,JPN,Armenia,Road Maintenance (A)_01,2550.603637,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1664,JAPAN,2022,JPN,Kazakhstan,Road Maintenance (A)_02,2550.603637,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1807,JAPAN,2022,JPN,Kyrgyzstan,Road Maintenance (A)_03,2550.603637,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4099,JAPAN,2022,JPN,Turkmenistan,Road Maintenance (A)_05,2550.603637,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4187,JAPAN,2022,JPN,Ukraine,Road Maintenance (A)_06,2550.603637,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,396,JAPAN,2021,JPN,Cambodia,Port Maintenance Planning_02,2564.170782,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,550,JAPAN,2021,JPN,Djibouti,Port Maintenance Planning_03,2564.170782,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,626,JAPAN,2021,JPN,Egypt,Port Maintenance Planning_04,2564.170782,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2417,JAPAN,2021,JPN,Philippines,Port Maintenance Planning_07,2564.170782,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2750,JAPAN,2021,JPN,Sudan,Port Maintenance Planning_08,2564.170782,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2909,JAPAN,2021,JPN,Togo,Port Maintenance Planning_09,2564.170782,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2935,JAPAN,2022,JPN,Nigeria,Practical Technology on Intelligent Transport System (ITS)_05,2579.353153,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1757,JAPAN,2022,JPN,Kenya,Urban Railways Management_04,2591.930353,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,196,JAPAN,2022,JPN,Bangladesh,Urban Railways Management_01,2591.94557,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3361,JAPAN,2022,JPN,Philippines,Road Administration_09,2620.516282,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
ESP-CTF-FTC-2024-V0.3-20250529-090652_started SPAIN.xlsx,Table1_2022,704,SPAIN,2022,ESP,Colombia,VOLUNTEERING: VI Call for mobility aid in projects of Cooperation Groups,2631.578947,,Committed,Bilateral,ODA,Grant,Mitigation,Energy,23182 Energy research,No,No,NR,Energy,,,,,Energy research,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,804,JAPAN,2022,JPN,Djibouti,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_03",2636.620119,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1118,JAPAN,2022,JPN,Gabon,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_05",2636.620119,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1261,JAPAN,2022,JPN,Guinea,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_06",2636.620119,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2149,JAPAN,2022,JPN,Mauritania,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_09",2636.620119,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,379,JAPAN,2022,JPN,Brazil,Urban Railways Management_02,2717.900178,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2320,JAPAN,2022,JPN,Mongolia,Urban Railways Management_05,2717.900178,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3373,JAPAN,2022,JPN,Philippines,Urban Railways Management_08,2717.900178,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1233,JAPAN,2021,JPN,Kyrgyzstan,Core Human Resource Development for Road Asset Management (JFY2019)_04,2838.712029,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2533,JAPAN,2022,JPN,"Developing countries, unspecified",Core Human Resource Development for Road Asset Management (JFY2019)_05,2859.973841,,Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4070,JAPAN,2022,JPN,Tunisia,Expenses for Priority Sectors/Regions in Ports_01,2913.588626,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2468,JAPAN,2022,JPN,Multiple countries in Subsahara,Grand Design for Global Logistics in the Africa Region_01,2935.939216,,Committed,Regional,ODA,Grant,Mitigation,Other (Business and other services),Business and other services,Yes,No,Exchange rate is determined based on the date of committement,Other (Business and other services),,,,,Business and other services,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2803,JAPAN,2022,JPN,Nepal,Core Human Resource Development for Road Asset Management (JFY2021-2023)_09,2959.134372,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,484,JAPAN,2022,JPN,Cambodia,Road Maintenance (B)_01,2969.497437,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2183,JAPAN,2022,JPN,Mexico,Road Maintenance (B)_02,2969.497437,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,448,JAPAN,2021,JPN,Chile,Core Human Resource Development for Road Asset Management (JFY2020)_01,2994.373781,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2270,JAPAN,2021,JPN,Papua New Guinea,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (C)_02",3004.446307,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2478,JAPAN,2021,JPN,Rwanda,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (C)_03",3004.446307,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2719,JAPAN,2021,JPN,Sri Lanka,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (C)_04",3004.446307,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3182,JAPAN,2021,JPN,Zambia,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (C)_05",3004.446307,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,197,JAPAN,2022,JPN,Bangladesh,Level Up Training for Operation and Management Organization of Urban Railways_01,3092.811822,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4312,JAPAN,2022,JPN,Vietnam,Level Up Training for Operation and Management Organization of Urban Railways_06,3092.811822,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1859,JAPAN,2022,JPN,Laos,Project for Institutional Capacity Building for Sustainable Urban Transport System_02,3115.306977,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1178,JAPAN,2021,JPN,Kenya,Urban Railways Management_02,3174.800007,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,31,JAPAN,2021,JPN,Afghanistan,Comprehensive Urban Transportation Planning_01,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,292,JAPAN,2021,JPN,Brazil,Comprehensive Urban Transportation Planning_02,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,822,JAPAN,2021,JPN,Ghana,Comprehensive Urban Transportation Planning_04,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1105,JAPAN,2021,JPN,Iraq,Comprehensive Urban Transportation Planning_05,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1268,JAPAN,2021,JPN,Laos,Comprehensive Urban Transportation Planning_06,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1933,JAPAN,2021,JPN,Myanmar,Comprehensive Urban Transportation Planning_10,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2107,JAPAN,2021,JPN,Nigeria,Comprehensive Urban Transportation Planning_11,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2470,JAPAN,2021,JPN,Rwanda,Comprehensive Urban Transportation Planning_12,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2700,JAPAN,2021,JPN,Sri Lanka,Comprehensive Urban Transportation Planning_13,3245.790586,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,244,JAPAN,2021,JPN,Bolivia,Collection of information for river transportation development,3264.127048,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4101,JAPAN,2022,JPN,Turkmenistan,Road Maintenance(A)_04,3306.373133,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4071,JAPAN,2022,JPN,Tunisia,Expenses for Priority Sectors/Regions in Ports_02,3406.039643,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2546,JAPAN,2022,JPN,"Developing countries, unspecified",Expenses for JICA-DSP in Transportation/Traffic/General,3479.166968,,Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,627,JAPAN,2021,JPN,Egypt,Sustainable Port Development and Planning (For Port Engineer)_02,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1337,JAPAN,2021,JPN,Madagascar,Sustainable Port Development and Planning (For Port Engineer)_06,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1575,JAPAN,2021,JPN,Morocco,Sustainable Port Development and Planning (For Port Engineer)_07,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1960,JAPAN,2021,JPN,Namibia,Sustainable Port Development and Planning (For Port Engineer)_09,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2418,JAPAN,2021,JPN,Philippines,Sustainable Port Development and Planning (For Port Engineer)_10,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2513,JAPAN,2021,JPN,Samoa,Sustainable Port Development and Planning (For Port Engineer)_12,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3124,JAPAN,2021,JPN,Vietnam,Sustainable Port Development and Planning (For Port Engineer)_18,3509.134063,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,805,JAPAN,2022,JPN,Djibouti,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_04",3606.266687,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1270,JAPAN,2021,JPN,Laos,Project Management in Infrastructure Development for Civil Engineers,3645.621116,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2159,JAPAN,2021,JPN,Pakistan,Core Human Resource Development for Road Asset Management (JFY2019)_07,3660.682071,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2894,JAPAN,2021,JPN,Timor-Leste,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (A)_06",3746.437487,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,194,JAPAN,2022,JPN,Bangladesh,"Urban Public Transport (Railway, MRT, Bus, etc.)_01",3795.681752,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,783,JAPAN,2022,JPN,Democratic Republic of the Congo,"Urban Public Transport (Railway, MRT, Bus, etc.)_03",3795.681752,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2070,JAPAN,2022,JPN,Malaysia,"Urban Public Transport (Railway, MRT, Bus, etc.)_10",3795.681752,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3732,JAPAN,2022,JPN,Sri Lanka,"Urban Public Transport (Railway, MRT, Bus, etc.)_12",3795.681752,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1673,JAPAN,2022,JPN,Kazakhstan,"Urban Public Transport (Railway, MRT, Bus, etc.)_08",3795.700774,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2108,JAPAN,2021,JPN,Nigeria,Improvement of Port Cargo Transport Efficiency for African Countries_06,3797.738579,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2402,JAPAN,2021,JPN,Philippines,Level Up Training for Operation and Management Organization of Urban Railways_02,3798.695264,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,931,JAPAN,2022,JPN,Egypt,Level Up Training for Operation and Management Organization of Urban Railways_02,3854.626439,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1532,JAPAN,2022,JPN,Indonesia,Level Up Training for Operation and Management Organization of Urban Railways_03,3854.634048,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3376,JAPAN,2022,JPN,Philippines,Level Up Training for Operation and Management Organization of Urban Railways_05,3854.634048,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4313,JAPAN,2022,JPN,Vietnam,Level Up Training for Operation and Management Organization of Urban Railways_07,3854.634048,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1423,JAPAN,2022,JPN,Indonesia,Core Human Resource Development for Road Asset Management (JFY2021-2023)_04,3890.531948,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,955,JAPAN,2021,JPN,India,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_01",3941.888223,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1473,JAPAN,2021,JPN,Mauritius,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_07",3941.888223,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2400,JAPAN,2021,JPN,Philippines,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_08",3941.888223,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3117,JAPAN,2021,JPN,Vietnam,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_11",3941.888223,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2113,JAPAN,2022,JPN,Mali,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_08",4062.960565,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4453,JAPAN,2022,JPN,Zambia,Road Maintenance (D)_15,4200.537479,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1271,JAPAN,2021,JPN,Laos,Core Human Resource Development for Road Asset Management (JFY2020)_02,4250.25056,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
